params,optim,lower,upper,liter,uiter
Vd,0.5474208905879729,0.5108231468227813,0.6343690919797487,617,374
Vmax,0.25500177168711313,0.15488290700629137,0.3404411487956767,941,1241
Km,0.12558367707084078,,0.30542821932571435,426,1146
k_a,4.518139485708639,1.435671273992084,,2202,66
